nit,razon_social,macrosector_calc,region_calc,ingresos,ganancias,Prediccion_Margen,Ganancia_Proyectada_Mils
900641421,POLIMIX CONCRETO COLOMBIA S.A.S.,MANUFACTURA,Andina,4,0.0,0.027525217778408995,0.11010087111363598
860516640,BODEGAS DE MOSELA LTDA,MANUFACTURA,Andina,2,0.0,0.014626125668374713,0.029252251336749427
811045761,ENSAMBLES Y ADORNOS SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
900298032,OUTSOURCING INTEGRAL DE SERVICIOS ADMINISTRATIVOS SAS,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900298043,HAPAG LLOYD COLOMBIA LTDA,TRANSPORTE,Andina,3,0.9252669039145908,0.028644510082931725,0.08593353024879517
811044597,INMUEBLES COMERCIALES SAS,INMOBILIARIO,Andina,2,0.9252669039145908,0.18594639841348684,0.3718927968269737
860517423,CASTRO Y RINCON SAS,EDUCATIVO,Andina,1,0.0,0.012279643602482295,0.012279643602482295
860517277,SISTEMAS GYG,TIC,Andina,1,0.0,0.012279643602482295,0.012279643602482295
811045326,COMERCIALIZADORA SILVER SAS,COMERCIO,Andina,3,0.0,0.023166885977949386,0.06950065793384816
811045421,SOCIEDAD PROMOTORA TURISTICA DE MEDELLIN S.A.,CULTURAL,Andina,2,0.0,0.014626125668374713,0.029252251336749427
812000852,FUNDACION PANZENU,SALUD,Caribe,1,0.0,0.013520799423489096,0.013520799423489096
900298483,AGRICOLAS SAN JORGE SAS,COMERCIO,Pacifico,1,0.0,0.011698802945214826,0.011698802945214826
860520097,GUARDIANES COMPANIA LIDER DE SEGURIDAD LTDA,SERVICIOS,Andina,11,0.0,0.039861770418484,0.43847947460332404
811041386,RAMASU SAS,MANUFACTURA,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900297999,CARBONES SAN CAYETANO SAS,MINERO,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900644347,LADY NAIL COLOMBIA SAS,COMERCIO,Andina,4,0.0,0.02473807638278123,0.09895230553112493
860518665,ELECTRICOS INTERNACIONAL SAS,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
811042821,INVERSIONES KING CLUB S.A.,CULTURAL,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900646251,COMPUTEC OUTSOURCING SAS,TIC,Andina,1,0.0,0.012279643602482295,0.012279643602482295
860520976,ZETTA COMUNICADORES SA,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
814001131,NUEVO HORIZONTE SAS,CONSTRUCCION,Pacifico,2,0.0,0.014626125668374713,0.029252251336749427
860510149,CORMAC SAS,FINANCIERO,Andina,1,0.0,0.2177826941232959,0.2177826941232959
900626984,ADOS INVERSIONES S.A.S,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900306424,ARKATEC SAS,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
815001140,ES.E. HOSPITAL DIVINO NINO,SALUD,Pacifico,1,0.0,0.013520799423489096,0.013520799423489096
814003898,CLINICA LOS ANDES PASTO,SALUD,Pacifico,2,-0.9252669039145908,0.015316714411466523,0.030633428822933045
814006009,INSTITUTO CANCEROLOGICO DE NARINO LIMITADA,SALUD,Pacifico,1,0.0,0.013520799423489096,0.013520799423489096
900622678,SICHAR CERAMICA Y LISTELLOS SAS,COMERCIO,Pacifico,1,0.0,0.011698802945214826,0.011698802945214826
900634980,BAVIERA CONSTRUCTORES SAS EN LIQUIDACIO,CONSTRUCCION,Andina,4,0.0,0.028322601331855223,0.11329040532742089
860513883,JOSERRAGO SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
900636746,INVERSIONES MARILON S.A.S.,PROFESIONAL,Andina,1,0.0,0.07078281904927508,0.07078281904927508
900636366,AMPARAR SEGURIDAD LTDA,SERVICIOS,Andina,1,0.0,-0.0058643648604530365,-0.0058643648604530365
813001526,GLOBAL DE COLOMBIA SAS,FINANCIERO,Andina,6,0.9252669039145908,0.2626808224253835,1.576084934552301
900630143,DSD INGENIERIA SAS,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
813003433,CONSTRUCTORA DISARCO SAS,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900301820,MAFRA DISTRIBUCIONES LIMITADA,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
900302226,INVERSIONES MARMOL S.A.S,MANUFACTURA,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900302428,MEGALIADOS DISTRIBUCIONES SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
900628894,MARCO INFRAESTRUCTURA  Y MEDIO AMBIENTE OBRA PUBLICA S.A. SUCURSAL COLOMBIA S.A UNIPERSONAL SUCURSAL COLOMBIA,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
813002872,EMPRESA SOCIAL DEL ESTADO SAN SEBASTIAN DE LA PLATA HUILA,SALUD,Andina,1,0.0,0.013520799423489096,0.013520799423489096
860521035,ACRECER TEMPORAL SAS,SERVICIOS,Andina,1,0.0,-0.0058643648604530365,-0.0058643648604530365
811039710,AGROPECUARIA LA MONICA SAS,AGROPECUARIO,Andina,1,0.0,0.04240453684010294,0.04240453684010294
900675223,COMSA COLOMBIA SAS,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900675108,INVERSIONES TELCO S.A.S.,FINANCIERO,Andina,4,3.701067615658363,0.2626808224253835,1.050723289701534
900672793,JAGUAR CAPITAL S.A.S,INMOBILIARIO,Andina,1,0.0,0.18359991634759446,0.18359991634759446
900284517,DISTRIBUIDORES EL DARIEN URABA SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
811029497,CORPORACION DE PLASTICOS AGRICOLAS SAS,AGROPECUARIO,Andina,1,0.0,0.04240453684010294,0.04240453684010294
900674141,SUTEX INTERNACIONAL SAS,MANUFACTURA,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900674139,LEVINVERSIONES SAS,FINANCIERO,Andina,3,1.8505338078291815,0.25811319761278695,0.7743395928383608
811030174,SOCIEDADSOCIEDAD DISTRIBUIDORA DE MODA Y CONFECCION INTERNACIONAL SAS,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900277581,CESAR CASTANO CONSTRUCCIONES SAS,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900277655,ESPECIALIDADES QUIMICAS INDUSTRIALES S.A.S.,MANUFACTURA,Caribe,2,-1.8505338078291815,0.014626125668374713,0.029252251336749427
900682557,MASEBAS SAS,PROFESIONAL,Andina,3,1.8505338078291815,0.11380774606473043,0.3414232381941913
860534900,MG INGENIERIA SA,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900685276,PROMOTORA 63 S.A.S,INMOBILIARIO,Andina,6,2.775800711743772,0.25850165744616554,1.5510099446769932
900685235,CLINICA MEDICENTER FICUBO SAS,SALUD,Orinoquia,1,0.0,0.013520799423489096,0.013520799423489096
811023841,DISTECSA S.A.S.,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
811023992,COLOR & FASHION INTERNATIONAL SAS,COMERCIO,Andina,4,0.0,0.02473807638278123,0.09895230553112493
811024201,GRUPO CARVACARO SAS,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900280774,WOUND CLINIC S.A.S.,SALUD,Pacifico,2,0.0,0.015316714411466523,0.030633428822933045
860534160,CHAHER SAS,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
860533798,PLASTICOS Y CAUCHOS S A PLACA,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
860523122,MULTICONSTRUCCIONES JP SAS,CONSTRUCCION,Andina,2,0.9252669039145908,0.014626125668374713,0.029252251336749427
860524337,CREDIMAFRE SAS,FINANCIERO,Andina,1,0.0,0.2177826941232959,0.2177826941232959
811038520,VELPA SOLUCIONES INTEGRALES SA,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
900653548,M001 SAS,CONSTRUCCION,Andina,6,4.6263345195729535,0.028322601331855223,0.16993560799113133
811039459,CYPRES CASAS Y PREFABRICADOS S.A.,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
860522583,MERCANTIL GALERAZAMBA Y CIA SAS,FINANCIERO,Andina,1,0.9252669039145908,0.2177826941232959,0.2177826941232959
811031963,PROMOTORA Y CONSTRUCTORA DE PROYECTOS SAS,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900285729,USHUAIA JEANS SAS,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
811031401,HENFA SAS,SERVICIOS,Andina,2,1.8505338078291815,0.01668108665459632,0.03336217330919264
811032797,ANDES CAST METALS FOUNDRY SAS,MANUFACTURA,Andina,2,0.0,0.014626125668374713,0.029252251336749427
811032818,SALUD TREC S.A.S,SALUD,Andina,1,0.0,0.013520799423489096,0.013520799423489096
811033183,JEANS PLATINO S.A,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900291484,COTESAB SAS,CONSTRUCCION,Caribe,2,0.0,0.014626125668374713,0.029252251336749427
900665199,KW DE COLOMBIA SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
815001535,LAS PALMAS INGENIERIA Y SUMINISTROS SAS,COMERCIO,Pacifico,1,0.0,0.011698802945214826,0.011698802945214826
860079943,PRINTER COLOMBIANA S.A.S.,MANUFACTURA,Andina,6,0.0,0.027525217778408995,0.16515130667045397
900582203,CURTIDOS DE COLOMBIA GROUP SAS,MANUFACTURA,Andina,3,0.0,0.02595402737357715,0.07786208212073145
823004881,I.P.S. CLINICA GUARANDA SANA S.A.S.,SALUD,Caribe,1,0.0,0.013520799423489096,0.013520799423489096
824000254,INGENIERIA MULTISECTORIAL SAS,CONSTRUCCION,Caribe,1,0.0,0.012279643602482295,0.012279643602482295
823000505,COMERCIALIZADORA DE GANADOS DE SUCRE S.A COGASUCRE S.A,COMERCIO,Caribe,2,0.0,0.014045285011107245,0.02809057002221449
860090247,TANDEM S.A.S.,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
860090026,MULTIFAMILIARES PEPE 8 SAS,CONSTRUCCION,Andina,3,0.0,0.026751410927023378,0.08025423278107013
824005947,HERNANDO YEPEZ M. & CIA S.A.S,COMERCIO,Caribe,2,0.0,0.014045285011107245,0.02809057002221449
825000147,E.S.E. HOSPITAL ARMANDO PABON LOPEZ,SALUD,Caribe,1,0.0,0.013520799423489096,0.013520799423489096
825000970,PESQUERA MAR ADENTRO LIMITADA,MANUFACTURA,Caribe,1,0.0,0.012279643602482295,0.012279643602482295
860078024,JORGE CORTES MORA Y CIA SAS,COMERCIO,Andina,17,0.0,0.024563450221395815,0.4175786537637289
900590078,NEXXO CARIBE SAS,CONSTRUCCION,Caribe,2,0.0,0.014626125668374713,0.029252251336749427
821001446,HACIENDA NORMANDIA SAS,AGROPECUARIO,Pacifico,1,0.0,0.04240453684010294,0.04240453684010294
860090404,SEI SISTEMAS E INSTRUMENTACION S.A.,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
860091130,DAMECOS S.A,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900584873,VESGA BALLESTEROS HERMANOS SAS,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
830001237,SERVICIOS ADOM SAS SIGLA ADOM SALUD DOMICILIARIA,SALUD,Andina,2,0.0,0.015316714411466523,0.030633428822933045
830004575,INTERVAL INTERNATIONAL DE COLOMBIA S.A.S.,SERVICIOS,Andina,1,0.0,-0.0058643648604530365,-0.0058643648604530365
830004748,PRICEWATERHOUSECOOPERS  INFORMATION SERVICES S.A.S,PROFESIONAL,Andina,2,0.0,0.0731293011151675,0.146258602230335
830005282,BB INGENIEROS SAS,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900571730,MACA CONSTRUCCIONES Y SYS SAS,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
860069870,SOCIEDAD INTERDISCIPLINARIA PARA LA SALUD S.A SIGLA SIPLAS SA,SALUD,Andina,1,0.0,0.013520799423489096,0.013520799423489096
830003960,AGENCIA DE ADUANAS COLMAS SAS NIVEL 1,TRANSPORTE,Andina,1,0.0,0.01417274275839064,0.01417274275839064
830001072,COMBUSTIBLES PARMALAT SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
900321674,CUMBRE INGENIERIA SAS,PROFESIONAL,Andina,2,0.0,0.0731293011151675,0.146258602230335
827000325,TV ISLA LTDA,TIC,Insular,1,0.0,0.012279643602482295,0.012279643602482295
828000073,CORPORACION MEDICA DEL CAQUETA,SALUD,Amazonia,1,0.0,0.013520799423489096,0.013520799423489096
828000386,ESE HOSPITAL MALVINAS HECTOR OROZCO OROZCO,SALUD,Amazonia,1,0.0,0.013520799423489096,0.013520799423489096
826001016,MELTEC DE ORIENTE SAS,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
900576027,LOMALINDA S.A.S,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900575995,SARCLE SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
900575744,AVEFARMA SAS,FINANCIERO,Andina,4,3.701067615658363,0.2626808224253835,1.050723289701534
900577183,CARTASUNA S.A.S.,PROFESIONAL,Andina,1,0.9252669039145908,0.07078281904927508,0.07078281904927508
829000079,SERVIYARIMA SAS,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
900576791,IINVER 3 SAS,INMOBILIARIO,Andina,2,0.9252669039145908,0.18594639841348684,0.3718927968269737
900322971,BGH COLOMBIA SAS,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
900685695,AVANTGARD SAS,INMOBILIARIO,Andina,1,0.9252669039145908,0.18359991634759446,0.18359991634759446
860501968,VILLEGAS Y VILLEGAS IVEGAS S.A.S.,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900612788,BRADFORD ARQUITECTOS + CLC SAS,PROFESIONAL,Andina,2,0.0,0.0731293011151675,0.146258602230335
900609064,CONSTRUCTORA VALENCIA SOCIEDAD POR ACCIONES SIMPLIFICADA,CONSTRUCCION,Andina,2,0.9252669039145908,0.014626125668374713,0.029252251336749427
860500507,FERNADO VESGA Y COMPANIA S.A.S.,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
860500991,RIOPLAST S.A.,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900610154,COMERCIALIZADORA CARGANACOL SAS,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
860507994,ICOFARMA S.A,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900618448,PRODIEL COLOMBIA SAS,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
816000729,VIDRIERA OTUN S.A.,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900306849,PSPIB COLCONDOR S.A.S,INMOBILIARIO,Andina,4,-0.9252669039145908,0.25850165744616554,1.0340066297846622
815002936,CRISTAR S.A.S,MANUFACTURA,Andina,15,1.8505338078291815,0.027525217778408995,0.4128782666761349
815003093,PROACEROS DE OCCIDENTE SA EN REORGANIZACION,MANUFACTURA,Pacifico,1,0.0,0.012279643602482295,0.012279643602482295
815003256,PISCANO SAS,AGROPECUARIO,Pacifico,2,0.0,0.04176238460088585,0.0835247692017717
900614469,REFORESTADORA CUMARE SAS,AGROPECUARIO,Andina,1,-1.8505338078291815,0.04240453684010294,0.04240453684010294
816003468,RENOVAMOTOR SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
860504435,AC PLATA RESTREPO Y CIA SAS,INMOBILIARIO,Andina,1,0.9252669039145908,0.18359991634759446,0.18359991634759446
819003210,UNIDAD DE ATENCION DE PACIENTES EN ESTADO CRITICO CUIDADO CRITICO S.A.S,SALUD,Caribe,1,0.0,0.013520799423489096,0.013520799423489096
900596298,RINDER RIDUCO S.A.S,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900594803,AGROPECUARIA EL NOVILLAL SAS,AGROPECUARIO,Pacifico,3,0.0,0.05926613091466531,0.17779839274399592
900594720,BIOCIRCULO SAS,MANUFACTURA,Andina,3,0.0,0.02595402737357715,0.07786208212073145
819001391,EL ROBLE AGRICOLA S.A.,AGROPECUARIO,Caribe,2,0.0,0.04176238460088585,0.0835247692017717
819001498,INVERSIONES PADORNELO SA,AGROPECUARIO,Caribe,2,0.0,0.04176238460088585,0.0835247692017717
819002380,CONSTRUCCIONES CP SAS,CONSTRUCCION,Caribe,3,0.0,0.026751410927023378,0.08025423278107013
900598900,INVERSIONES RMR 26 SAS,INMOBILIARIO,Andina,6,1.8505338078291815,0.25850165744616554,1.5510099446769932
819004786,COMPANIA BANANERA S.A.S.,AGROPECUARIO,Caribe,1,0.0,0.04240453684010294,0.04240453684010294
900315454,BARMESA SAS,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
819005515,INVERSORA DEL MAGDALENA Y CIA S.A.,COMERCIO,Caribe,1,0.0,0.011698802945214826,0.011698802945214826
819005883,PORT TRADE S.A.S.,TRANSPORTE,Caribe,1,0.0,0.01417274275839064,0.01417274275839064
819006542,EXTRACTORA FRUPALMA SA EN REESTRUCTURACION,AGROPECUARIO,Caribe,2,-0.9252669039145908,0.04176238460088585,0.0835247692017717
900593525,ALIANZA ESTRENO SAS,COMERCIO,Caribe,1,0.0,0.011698802945214826,0.011698802945214826
900315753,FENAJEDA SOCIEDAD POR ACCIONES SIMPLIFICADAS,COMERCIO,Caribe,1,0.0,0.011698802945214826,0.011698802945214826
860450430,NITTA SA,MANUFACTURA,Andina,5,0.0,0.027525217778408995,0.13762608889204497
860404869,GASIN Y CIA SAS,FINANCIERO,Andina,2,0.9252669039145908,0.22012917618918829,0.44025835237837657
900313398,INVERSIONES CASAS Y CASAS S.A.S,COMERCIO,Caribe,1,0.0,0.011698802945214826,0.011698802945214826
900606638,DUNNINGTON CORPORATION,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900311715,VIHONCO IPS COSTA SAS,SALUD,Caribe,1,0.0,0.013520799423489096,0.013520799423489096
818001019,ESE HOSPITAL LOCAL ISMAEL ROLDAN VALENCIA,SALUD,Pacifico,2,0.0,0.015316714411466523,0.030633428822933045
900599717,ABLOY COLOMBIA SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
817002676,"PAPELES DEL CAUCA, SAS",MANUFACTURA,Pacifico,31,-5.551601423487544,0.024478352883134984,0.7588289393771845
860403097,ELEMENTOS QUIMICOS LTDA.,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
860402837,INVERSIONES MONTESACRO S.A.S,SERVICIOS,Andina,2,0.0,0.01668108665459632,0.03336217330919264
900237674,AGS SALUD ADMINISTRACION Y GESTION EN SERVICIOS DE SALUD SAS,PROFESIONAL,Pacifico,1,0.0,0.07078281904927508,0.07078281904927508
900798172,PUNTO ESTILO COLOMBIA S.A.S,COMERCIO,Andina,7,0.0,0.02473807638278123,0.17316653467946863
900236830,FIRST DATA COLOMBIA LTDA,TIC,Andina,11,1.8505338078291815,0.028322601331855223,0.31154861465040745
805025780,UNION METROPOLITANA DE TRANSPORTADORES S.A,TRANSPORTE,Pacifico,2,-0.9252669039145908,0.016519224824283054,0.03303844964856611
900238615,LOGISTIC AND SERVICES SAS,TRANSPORTE,Andina,2,0.0,0.016519224824283054,0.03303844964856611
805027970,COMERCIALIZADORA GIRALDO Y GOMEZ Y CIA SA,INMOBILIARIO,Pacifico,1,0.0,0.18359991634759446,0.18359991634759446
900803167,DOHENY S.A.S.,AGROPECUARIO,Andina,2,1.8505338078291815,0.04176238460088585,0.0835247692017717
900802411,MEDICAL IMAGING SAS,SALUD,Andina,1,0.0,0.013520799423489096,0.013520799423489096
900803732,MALLAS TOCANCIPA SAS,MANUFACTURA,Andina,2,0.0,0.014626125668374713,0.029252251336749427
805017681,GAMANUCLEAR LTDA,SALUD,Andina,1,0.0,0.013520799423489096,0.013520799423489096
805018570,SUITCO SA,PROFESIONAL,Andina,1,0.0,0.07078281904927508,0.07078281904927508
900236042,INVERSIONES ZUBO SOCIEDAD ANONIMA,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
805023006,IV NIVEL SA,COMERCIO,Pacifico,2,0.0,0.014045285011107245,0.02809057002221449
805024170,CAFE GRANJA LA ESPERANZA SA CI EN REORGANIZACION,AGROPECUARIO,Pacifico,2,0.0,0.04176238460088585,0.0835247692017717
890270773,RUEDAS Y COMPANIA SAS,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
806008176,COMERCIALIZADORA EL CONSTRUCTOR SA,COMERCIO,Caribe,1,0.0,0.011698802945214826,0.011698802945214826
900245560,CARIMAR LTDA,SERVICIOS,Caribe,1,0.0,-0.0058643648604530365,-0.0058643648604530365
806005746,ESTACION DE SERVICIO LAS MERCEDES SAS,COMERCIO,Caribe,1,0.0,0.011698802945214826,0.011698802945214826
900246577,ATENCION MEDICO INMEDIATA DOMICILIARIA AMID LTDA,SALUD,Pacifico,1,0.0,0.013520799423489096,0.013520799423489096
890210914,COOPERATIVA DE VIGILANCIA DE SANTANDER,SERVICIOS,Andina,1,0.0,-0.0058643648604530365,-0.0058643648604530365
900772053,SERVICIO Y ATENCION EN SALUD - SANAS IPS SAS,SALUD,Andina,8,0.9252669039145908,0.02901319007494703,0.23210552059957623
900773646,PROMOTORA INMOBILIARIA CEDRITOS S.A.S,CONSTRUCCION,Andina,3,0.0,0.026751410927023378,0.08025423278107013
900775192,GRUPO EMPRESARIAL PROYECTAR INGENIERIA SAS,PROFESIONAL,Caribe,2,0.0,0.0731293011151675,0.146258602230335
805031507,"FUNDACION PARA LA PROMOCION DE LA SALUD Y PREVENCION DE LA ENFERMEDAD RENAL ""PREVRENAL""",SALUD,Pacifico,1,0.0,0.013520799423489096,0.013520799423489096
900791618,CONSTRUCCIONES E INVERSIONES D&R SAS,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
890300768,LA BALINERA SA,COMERCIO,Pacifico,2,0.0,0.014045285011107245,0.02809057002221449
806003158,MULTISERVICIOS LA GRAN VIA S.A.,COMERCIO,Caribe,2,0.0,0.014045285011107245,0.02809057002221449
900243673,VIVA HOME S.A.S.,COMERCIO,Caribe,2,0.0,0.014045285011107245,0.02809057002221449
900782194,BESCO COLOMBIA S.A.S.,PROFESIONAL,Andina,4,0.0,0.08526688650127551,0.34106754600510203
806005329,TEMPO EXPRESS SAS,TRANSPORTE,Caribe,2,0.0,0.016519224824283054,0.03303844964856611
806005392,DISTRICANDELARIA DEL NORTE S.A.S.,COMERCIO,Caribe,2,0.0,0.014045285011107245,0.02809057002221449
890300504,COMPANIA DE TRANSPORTE TERMINALES S.A.,TRANSPORTE,Pacifico,2,0.0,0.016519224824283054,0.03303844964856611
806000387,COMERCIALIZADORA EXCEDENTES Y METALES SA,SERVICIOS,Caribe,1,0.0,-0.0058643648604530365,-0.0058643648604530365
900833009,CONSTRUCTORA PONCE DE LEON S.A.S.,CONSTRUCCION,Caribe,2,0.0,0.014626125668374713,0.029252251336749427
900831600,FLP GLOBAL COLOMBIA SAS,FINANCIERO,Andina,2,0.9252669039145908,0.22012917618918829,0.44025835237837657
900835283,IPS ACUERDOS DE VIDA SAS,SALUD,Andina,1,0.0,0.013520799423489096,0.013520799423489096
900225631,VIDAMEDICAL IPS S.A.S.,SALUD,Andina,1,0.0,0.013520799423489096,0.013520799423489096
804016472,AMERICANA DE SERVICIOS LTDA,SERVICIOS,Andina,3,0.0,0.036942688617217,0.110828065851651
805002434,AGENCIA CAUCHOSOL DE OCCIDENTE SAS,COMERCIO,Pacifico,1,0.0,0.011698802945214826,0.011698802945214826
890316966,CONSULTORIA TECNICA LATINOAMERICANA Y DEL CARIBE SAS EN REORGANIZACION,PROFESIONAL,Andina,2,0.0,0.0731293011151675,0.146258602230335
900827631,VITAL CARIBE SAS,SALUD,Caribe,2,0.0,0.015316714411466523,0.030633428822933045
805000427,COOMEVA EPS SA,ADMINPUBLICA,Pacifico,232,-20.355871886120998,0.01121497306018342,2.6018737499625537
900827056,CALERA 25 SAS,CONSTRUCCION,Andina,3,0.0,0.026751410927023378,0.08025423278107013
900226585,FUNDACION CARDIOMET CEQUIN,SERVICIOS,Andina,1,0.0,-0.0058643648604530365,-0.0058643648604530365
804014816,HOL SAS,PROFESIONAL,Caribe,1,0.0,0.07078281904927508,0.07078281904927508
804009825,INVERSIONES RESTREPO LTDA,MANUFACTURA,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900844041,CONSTRUCTORA GONZALEZ Y GUZMAN SAS,CONSTRUCCION,Andina,1,0.0,0.012279643602482295,0.012279643602482295
900843210,C.I. GOLDEN PLATINO COLOMBIA S.A.S,COMERCIO,Andina,4,0.0,0.02473807638278123,0.09895230553112493
900223044,DELIFLOR LATIN AMERICA,SERVICIOS,Andina,2,0.0,0.01668108665459632,0.03336217330919264
804008885,EICON LTDA,CONSTRUCCION,Andina,2,0.0,0.014626125668374713,0.029252251336749427
900223667,PERFECT BODY MEDICAL CENTER LTDA,SALUD,Caribe,1,0.0,0.013520799423489096,0.013520799423489096
804012730,COLPROMED SAS,COMERCIO,Andina,2,0.0,0.014045285011107245,0.02809057002221449
804013213,TOOL S.S. S.A.S.,PROFESIONAL,Andina,2,0.0,0.0731293011151675,0.146258602230335
900225023,YORKS PUBLIDENT GOLD TIME SAS,COMERCIO,Andina,4,0.0,0.02473807638278123,0.09895230553112493
900224771,PVC DEL CARIBE SAS,COMERCIO,Caribe,3,0.0,0.023166885977949386,0.06950065793384816
804011160,AUTOPARTES CASTEL MOTORS SAS,COMERCIO,Andina,1,0.0,0.011698802945214826,0.011698802945214826
890320974,GESTA & CIA S.A.S GESTA & CIA S.A.S,FINANCIERO,Pacifico,1,0.9252669039145908,0.2177826941232959,0.2177826941232959
900811104,PROMOTORA VIDA SAS,CONSTRUCCION,Pacifico,3,0.0,0.026751410927023378,0.08025423278107013
805014913,SCIENTIFIC PRODUCTS SAS,COMERCIO,Pacifico,1,0.0,0.011698802945214826,0.011698802945214826
890308647,OPERACIONES MARTINEZ Y CIA SCA,INMOBILIARIO,Pacifico,4,2.775800711743772,0.25850165744616554,1.0340066297846622
805015650,A.P.M. CALI S.A.S.,COMERCIO,Pacifico,1,0.0,0.011698802945214826,0.011698802945214826
805016006,"AMIGOS DE LA SALUD, AMISALUD SAS",SALUD,Pacifico,1,0.0,0.013520799423489096,0.013520799423489096
890308729,INDUSTRIA DE ALUMINIO INDIA SAS,MANUFACTURA,Pacifico,2,0.0,0.014626125668374713,0.029252251336749427
805005992,OPORTO SA,COMERCIO,Pacifico,1,0.0,0.011698802945214826,0.011698802945214826
805006304,MEDIDAS ELECTRICAS INGENIERIA SAS,CONSTRUCCION,Pacifico,1,0.0,0.012279643602482295,0.012279643602482295
890309556,ACCION S.A.S,SERVICIOS,Andina,2,-0.9252669039145908,0.01668108665459632,0.03336217330919264
890308965,CALIMA MOTOR SAS,COMERCIO,Pacifico,3,0.0,0.023166885977949386,0.06950065793384816
805009601,BANO MOVIL DE COLOMBIA SA BAMOCOL SA EN REORGANIZACION,SERVICIOS,Pacifico,1,0.0,-0.0058643648604530365,-0.0058643648604530365
